INDV	Het_R	Population	Colour
Sp121	0.229763518762208	SE_Asia	#FF0000
Sp122	0.228705811720138	SE_Asia	#FF0000
Sp123	0.227790807937802	SE_Asia	#FF0000
Sp124	0.227675291948453	SE_Asia	#FF0000
Sp125	0.297627822379654	SE_Asia	#FF0000
Sp126	0.297072981942721	SE_Asia	#FF0000
Sp127	0.194459362454471	SE_Asia	#FF0000
Sp129	0.229978921340385	SE_Asia	#FF0000
Sp130	0.225449660937535	SE_Asia	#FF0000
Sp131	0.152112308611756	Europe	#0000FF
Sp132	0.230335126474832	SE_Asia	#FF0000
Sp133	0.153009417460336	Europe	#0000FF
Sp134	0.153069923065448	Europe	#0000FF
Sp135	0.247389077274815	SE_Asia	#FF0000
Sp136	0.200577045384234	Europe	#0000FF
Sp137	0.19919685967885	Europe	#0000FF
